b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
b,0.29287475,0.09777182,0.10812112,0.001834261,1264.755709,148829.4026,1971.161434,179786.9486,2411.826748,1990835.038,0.03851243,0.000220386,-9.43E-07,0.008392176,112.3471467,-7.477986,3617.7712,0.000728996,7.2016897,0.004286881,2.7199903
b,0.286994,0.09515827,0.10214047,0.001502612,960.2366346,39481.31622,1084.255953,41782.89589,1686.967721,254882.0538,0.055612959,0.000241624,2.07E-06,0.005732609,129.1992188,-4.8562574,4730.5913,0.002545907,7.034792,-0.000278099,2.9222224
b,0.29240462,0.08598893,0.22757672,0.006171272,1406.634352,52987.03854,1122.21885,11445.99035,2660.403393,105633.5383,0.10301578,0.001301205,-2.05E-06,0.04177722,83.35433468,-1.4526153,3405.9539,0.001394688,5.1159077,0.000327782,1.89418
b,0.31701455,0.092837974,0.23851724,0.015499583,2065.240919,259321.4604,2076.72021,105012.6161,4088.621078,1153254.193,0.097443986,0.001216313,1.35E-05,0.035266947,103.359375,1.852431,1214.4243,0.006581156,8.820736,-0.000313701,4.6942186
b,0.29580852,0.09430447,0.1373484,0.002041044,2031.830739,558549.9376,2055.954884,127088.1325,4141.65441,1895689.325,0.092983182,0.003237015,2.16E-06,0.010673297,161.4990234,-0.16218355,1687.214,0.001635477,10.139365,0.000695538,4.2793045
b,0.33989117,0.08772409,0.17030618,0.005266159,2473.754157,624161.5605,2587.081466,138505.9771,5481.296794,2181178.035,0.117363824,0.00426159,5.52E-06,0.020370241,89.10290948,2.2500243,1095.508,-0.002154421,8.244012,-0.000523053,3.3221312
b,0.29872698,0.08415169,0.22188498,0.005428454,2096.229301,282384.0405,2161.019212,114129.0153,4239.950979,1194984.66,0.113649444,0.001830768,-1.24E-05,0.036986373,117.4538352,2.2392795,1016.1751,0.003316329,5.8998556,-0.000518247,2.6648667
b,0.255985,0.08917043,0.07429507,0.000324866,2688.589027,1007197.751,2567.445151,188958.9123,5615.17981,3605426.029,0.123000832,0.005826878,-5.41E-06,0.003512411,151.9990809,-5.290772,2058.0562,-0.004698403,10.8507805,0.000846874,5.28769
b,0.24840456,0.09219675,0.17961058,0.004940549,2317.779567,296103.621,2403.865753,105553.8496,5109.855543,1399696.422,0.09751385,0.001210092,-5.06E-06,0.027597053,123.046875,-0.645912,1319.7682,0.005829621,7.411886,-0.000715235,3.2984765
b,0.2955898,0.08748048,0.09833992,0.000586434,2321.003668,441443.7717,2268.288804,95266.96064,4647.506299,1605778.759,0.109156205,0.003245224,-2.41E-06,0.006395653,86.1328125,-1.8933315,1463.7946,0.001518644,6.883662,-0.001499499,3.3529758
b,0.30152366,0.098429,0.19262373,0.004599301,2342.922495,470467.9045,2431.706623,209636.5694,5171.953951,2352545.394,0.107433775,0.002442766,3.74E-06,0.024674118,107.6660156,0.8742201,1231.4823,-0.004503721,13.029108,-0.001833731,5.6694765
b,0.2735678,0.08494281,0.31319153,0.008826257,2354.074366,187029.4077,1696.870042,58644.26824,3965.494792,614478.3041,0.16741256,0.001953538,-3.53E-06,0.065039575,112.3471467,-0.60368705,1122.0923,-0.005402849,4.6339025,0.001313202,2.1501772
b,0.26105517,0.087306455,0.23479955,0.005591454,1170.134356,32833.63296,1386.14722,18646.08458,2218.929549,169325.8669,0.059745583,0.000436986,-7.10E-06,0.04515711,103.359375,1.7198912,2209.7573,-0.00570732,3.1012924,0.000372,1.178997
b,0.26748502,0.08850596,0.241838,0.002257387,2355.152738,424654.5291,2544.4724,198586.0622,5262.024001,2589135.393,0.097617741,0.001803498,1.18E-05,0.03886699,107.6660156,3.0868645,893.2523,0.005270533,6.186215,-0.000315319,4.1647696
b,0.2504219,0.09158374,0.28941607,0.010093729,2539.159419,367754.7487,2521.160767,111446.6289,5558.568553,1507157.881,0.106762378,0.002246948,-1.33E-05,0.062145583,135.9991776,2.3687248,777.103,0.004399696,8.25512,-0.001497735,3.9859045
b,0.3070389,0.09196067,0.10977519,0.001600065,2491.903993,551035.4147,2494.812956,158510.2643,5266.719061,1979947.02,0.099243632,0.002000675,-6.13E-07,0.00776805,143.5546875,-0.16208172,1568.9485,-0.003954118,11.018238,-0.001959128,7.1049514
b,0.309723,0.087250136,0.34135354,0.006749376,1763.225962,92018.16306,1532.28386,43125.42793,3406.748039,365644.1338,0.101661582,0.001201626,2.82E-06,0.08971476,86.1328125,-0.5796171,1652.8555,0.001471582,4.5085793,-5.18E-05,1.295316
b,0.24568594,0.08831431,0.05193731,0.000330322,2185.645157,457735.2412,2184.911473,150962.0744,4419.101013,1952309.617,0.10644456,0.002549659,1.90E-06,0.002506162,112.3471467,-5.7893624,3304.0073,0.002711425,5.0542064,-0.000401709,1.8794031
b,0.3299385,0.09457397,0.13532607,0.005285074,2187.796964,626758.1279,2253.649686,136780.2609,4581.151895,1934232.785,0.093138434,0.004643,-5.10E-06,0.010929614,112.3471467,-0.4137474,1711.6927,0.006180378,10.128132,0.000112323,4.611305
b,0.4030673,0.08194433,0.05598982,0.000271762,2890.42397,214610.0689,2411.491842,75363.78589,5239.56212,822543.3304,0.188647293,0.00246129,0.000125273,0.001698178,135.9991776,-0.44587708,1814.1667,-0.003683982,4.2629757,-0.001259096,1.5511218
b,0.24419867,0.0875274,0.27222508,0.005799971,2103.516132,340292.4176,2091.130645,165895.8164,4220.771619,1959683.858,0.105675877,0.001270874,-1.48E-05,0.05690048,99.38401442,1.9101928,1006.66614,0.010591469,6.4007354,0.002710393,2.9280295
b,0.2616255,0.08950351,0.16920833,0.004009314,2318.126258,680536.1208,2388.658265,97667.56118,4911.94542,1816905.001,0.113612275,0.008068709,2.89E-06,0.024779297,129.1992188,-0.64725584,1342.3949,0.004214366,6.490152,-0.002119898,2.321076
b,0.2449063,0.08755849,0.18084607,0.003247034,1697.218163,185622.2929,2014.236396,132419.3116,3446.250874,1512258.4,0.079934776,0.000990985,-1.77E-05,0.027044374,117.4538352,-0.17031725,1658.208,-0.00602864,5.8285866,-0.00099528,2.326126
b,0.27763206,0.091609396,0.14906111,0.004959989,3369.445464,697177.2578,2913.991569,53399.92454,7086.286647,1132988.964,0.177554247,0.00815741,-6.86E-06,0.018975854,135.9991776,-2.2670734,928.0635,0.00840494,5.2721467,0.004608368,2.2356644
b,0.25795862,0.08457551,0.033957098,0.000123774,2462.67915,309744.1798,2472.817866,133019.314,5396.322212,1656886.292,0.111480571,0.001867034,-3.67E-06,0.000850958,143.5546875,-7.8663135,3766.2786,0.005551481,7.47347,0.005255112,3.645342
b,0.24792601,0.0860134,0.26523852,0.006657527,2555.989824,400687.3313,2501.672666,92601.22153,5347.195185,1861734.094,0.134780569,0.003805768,-6.06E-06,0.053228464,117.4538352,2.2137377,825.8105,-0.000963083,7.8453107,-0.001756999,3.2479138
b,0.20481323,0.08765024,0.34729668,0.010350439,2098.504441,330645.8742,2324.374048,91779.33273,4587.618211,1356595.018,0.088040083,0.002439426,-9.33E-06,0.096924335,161.4990234,0.44697425,968.7012,0.001379527,6.6471977,0.001449799,2.9983308
b,0.2476988,0.08794546,0.27842185,0.008701371,2232.815518,360050.0483,2269.153567,156203.9566,4620.783742,1885428.99,0.104260245,0.001521114,-1.17E-05,0.05459078,143.5546875,2.4149544,926.09454,-0.001954896,9.003463,0.005310269,4.957846
b,0.25717515,0.08790183,0.12874605,0.00128668,2268.451481,326694.4436,2124.145342,137653.318,4286.073444,1393591.411,0.123601808,0.002144811,-2.04E-06,0.011480472,123.046875,-1.2843508,1617.7173,0.002540344,8.563216,-0.001067013,4.0321465
b,0.30493775,0.09286418,0.13858776,0.002355805,2315.433409,368326.5036,2089.123325,134465.4606,4353.150032,1363384.473,0.140065948,0.003929315,1.24E-06,0.01375052,123.046875,-0.49096972,1477.9385,0.015346503,8.168122,-0.000456607,3.871788
b,0.21778823,0.086441256,0.27652788,0.007721258,2197.381024,330550.455,2370.169026,138177.7935,4808.251709,1825011.997,0.092606424,0.001856908,7.78E-07,0.06682865,143.5546875,2.5723188,1194.6919,0.004076128,8.662041,-0.008424468,3.9365914
b,0.26926085,0.09039804,0.21520898,0.012207842,2740.621493,868832.1748,2474.781321,192578.8402,5510.828621,2374839.135,0.14381925,0.008394677,-9.33E-05,0.042237412,135.9991776,-0.3017543,1216.9404,0.014724565,8.332565,-0.009495143,3.9877038
b,0.28699908,0.08275833,0.27439347,0.013923285,2706.12236,552221.0958,2519.357138,157287.2807,5579.540922,1884205.474,0.132208247,0.004180577,-7.47E-05,0.055160526,135.9991776,2.6378703,690.00323,0.012723405,8.388408,-0.001499547,3.92647
b,0.31263092,0.09645731,0.22376819,0.005017427,760.2882019,125794.7114,1107.568411,99421.28704,1270.142565,813105.3868,0.032861744,0.000511141,-6.33E-07,0.037802894,172.265625,-0.8632804,3963.7463,0.007457271,9.547527,0.001901006,3.82595
b,0.2544155,0.08356935,0.03449422,0.000159903,2546.556762,391977.2422,2587.920049,108422.6743,5682.516748,1469432.289,0.112091368,0.003023645,2.18E-06,0.000959503,143.5546875,-7.630267,3731.8843,0.02772265,6.506772,0.004864362,2.8899887
b,0.29341426,0.093570486,0.17336938,0.001287179,2588.431807,382510.6963,2605.696675,97142.75651,5678.108097,1413344.046,0.11280238,0.003611273,-4.65E-06,0.020495066,151.9990809,1.829501,874.8612,0.002802221,6.059316,0.000424045,3.4107263
b,0.23792994,0.08712136,0.23496298,0.004366968,2081.500203,414042.5803,2288.420831,139344.3088,4507.509687,2273097.671,0.102801579,0.002126823,-3.02E-06,0.038433466,117.4538352,0.86158943,1442.916,-0.004667358,10.927587,-0.001242183,4.156182
b,0.26221615,0.08996269,0.1432348,0.001494562,2506.551095,627746.6941,2313.336541,112304.8411,4956.529449,2091138.733,0.146256808,0.005624809,-2.54E-06,0.013263897,95.703125,1.8225114,1507.9806,0.02293524,9.762097,0.000210532,4.821345
b,0.25489354,0.08750175,0.3009673,0.002582838,2325.836031,344689.0434,2586.169175,152485.3083,5266.979262,2229573.375,0.096649492,0.000864043,-1.08E-06,0.06827628,99.38401442,1.9341112,756.97473,-0.003645024,5.873532,0.000956219,3.52206
b,0.29107243,0.08844031,0.19202766,0.002632381,1989.683505,186310.3809,2204.101605,154302.7679,4252.142404,1650879.336,0.097008933,0.000909535,-2.02E-07,0.020941935,112.3471467,3.5260468,1155.812,-0.001288343,9.035904,-0.001259408,5.503341
b,0.30222797,0.088280156,0.19955423,0.002872957,2110.401241,281712.7302,2257.810352,123259.9219,4354.57705,1539019.98,0.105250867,0.002078109,4.23E-06,0.020828936,112.3471467,3.6021578,1049.431,0.001396644,9.206989,0.000563062,4.7197638
b,0.21701677,0.08462019,0.14572947,0.001823859,2532.498628,706131.5995,2588.291451,137768.1803,5510.028034,2461109.993,0.123513182,0.005890135,1.06E-05,0.015996344,161.4990234,2.2026002,1424.8667,-0.002366122,10.629333,-0.001261248,5.0231934
b,0.25998017,0.09374802,0.17262375,0.002147867,2509.992661,496824.3635,2535.031659,111554.7987,5531.815825,1834429.875,0.118745084,0.00383485,1.17E-06,0.020696796,161.4990234,1.6298518,984.5267,-0.002845521,7.194794,-0.000518109,2.940838
b,0.21490714,0.08326789,0.112814456,0.001839461,2888.317667,602533.6337,2768.673313,152575.0005,6296.564824,2335306.816,0.14943492,0.004950648,4.55E-07,0.008829277,80.74951172,-2.5168686,1657.4912,0.001835582,13.0312805,0.004287549,7.870032
b,0.24859054,0.0935332,0.23187952,0.006579806,2351.074733,355864.6949,2425.275604,162434.2482,4988.16899,2131316.274,0.10728242,0.001647636,-9.71E-06,0.04068623,112.3471467,1.2059383,1066.2863,0.007506794,7.860752,0.00320605,5.7716374
b,0.2395687,0.085880704,0.1661646,0.002992161,2544.772477,326664.4972,2515.452149,125898.6439,5617.866513,1630784.659,0.127564687,0.002001856,-5.23E-06,0.023067717,99.38401442,0.93215597,1215.8695,-0.006713344,7.0782733,-0.000418324,3.695875
b,0.27947557,0.09327932,0.114117615,0.00193953,2543.388455,573087.8841,2585.68039,130504.859,5430.038368,1944127.367,0.133596064,0.006873838,-0.000102277,0.010349466,99.38401442,-1.3189135,1519.8579,-0.001307074,7.5050797,-0.001790281,4.5182323
b,0.26449326,0.0899812,0.18361391,0.002391063,2361.016239,295589.7575,2373.079446,138021.9305,4928.951838,1913095.7,0.119033732,0.00188388,-2.53E-05,0.023503564,99.38401442,0.7029422,1043.52,-0.002691287,7.30902,0.000713437,3.5678396
b,0.29397267,0.09334293,0.16542205,0.002351137,2680.55617,633475.8446,2674.843924,119449.7436,5876.13355,1651024.273,0.145799813,0.004955021,0.000114829,0.01725944,86.1328125,2.1699595,1100.3832,0.002020982,8.164231,-0.002102636,4.2988195
b,0.27047324,0.09310634,0.20307796,0.004266164,2372.174251,457672.5786,2450.33427,164105.1506,5056.976668,2284004.66,0.124189922,0.002487747,-2.36E-06,0.028320156,86.1328125,2.8229146,1060.5879,4.79E-05,7.8335276,0.002159694,3.8321614
b,0.26326373,0.08822985,0.16387257,0.002389869,2712.077045,717519.5383,2605.410892,94933.50648,5842.955007,1655308.612,0.162035258,0.009973089,-1.16E-05,0.019802777,99.38401442,-0.7732159,1085.068,-0.00358644,8.237476,0.00033158,4.201085
b,0.2980304,0.09096252,0.18371159,0.002528413,2438.159574,394618.8963,2383.655348,105320.6958,5202.683033,1481937.375,0.138313579,0.005714125,8.67E-06,0.023367826,99.38401442,-0.8810793,955.0079,-0.005522722,7.123566,0.001745546,3.119521
b,0.29667294,0.09365566,0.27334136,0.006688264,1937.048716,253590.1876,1987.595254,70587.20443,4056.722223,907191.8028,0.09343853,0.002063862,2.16E-05,0.05566878,123.046875,2.867594,1677.5967,-0.003234968,6.0949802,-0.000836226,1.9508344
b,0.30992,0.09340182,0.2651195,0.006060802,1849.682881,245963.6587,1922.973701,95703.05535,3865.448488,1204863.822,0.090095911,0.001509636,4.22E-06,0.053986292,129.1992188,2.767079,1801.3247,-0.000737302,5.636373,-0.000382043,1.7422265
b,0.29163274,0.09319261,0.19959223,0.004104677,1721.021521,233998.23,1730.457509,97799.47661,3235.397103,801669.2156,0.094431024,0.001888765,-7.09E-06,0.030836659,103.359375,-1.9120563,1609.004,0.007491718,3.531805,0.001058619,1.2984403
b,0.35235718,0.08381993,0.11122372,0.001945527,2868.135227,149527.5387,2026.188,97002.50741,4891.903753,923340.8011,0.208196776,0.001609455,2.20E-07,0.00679022,151.9990809,-5.6297674,1153.7697,-0.000227673,5.7359653,0.002650077,3.068738
b,0.2976098,0.096015595,0.1207981,0.003743929,1977.168356,222034.852,2105.237298,80417.01548,4252.907617,875904.9242,0.082553545,0.001504618,-6.09E-06,0.013715854,161.4990234,-4.335136,1853.4745,-0.001364742,6.7819314,-0.000283475,2.7099617
b,0.30501306,0.09156196,0.20876265,0.00646041,2705.342636,722150.6687,2761.057866,110327.163,6027.166852,2009630.962,0.116005663,0.005002367,-6.74E-05,0.027848594,103.359375,1.5256137,985.1213,2.04E-05,9.39627,-0.001256189,5.81067
b,0.35018608,0.092026375,0.14331388,0.002912451,2292.927431,155010.7248,2344.991991,71149.63578,4959.853342,691972.0756,0.097319139,0.001360237,-3.50E-06,0.015718793,123.046875,-3.2652886,1082.7336,0.002285938,5.3905687,0.00082644,1.6902407
b,0.38768277,0.08506503,0.120615415,0.002177137,2938.613973,227194.4197,2517.69823,80605.06819,5972.17222,1012948.789,0.175778982,0.003140206,4.06E-06,0.007820877,161.4990234,-2.1357508,749.4634,-0.001294518,5.3531213,-0.000849017,2.491379
b,0.38515925,0.07953153,0.15089431,0.003080918,3104.242338,147173.6526,2526.416853,53596.89525,6047.138434,460001.0871,0.175963789,0.002317339,-1.27E-06,0.013498659,161.4990234,-0.42660967,557.75037,-0.000222236,3.7661607,0.000325105,2.0502412
b,0.26015586,0.08780589,0.25812122,0.005504655,2405.971403,271982.4581,2390.489347,100734.4474,5060.573954,1443950.245,0.128776539,0.002133702,5.02E-05,0.043360643,123.046875,2.0072567,960.7889,-0.001739206,11.491579,-0.000360566,4.1913614
b,0.3072303,0.088209644,0.1591975,0.002743844,2496.669941,183221.2058,2440.773865,75245.70404,5380.400799,802573.7194,0.121973185,0.001408224,-3.05E-05,0.016692314,99.38401442,-0.052370925,877.401,0.003980449,4.2622814,-0.00137427,2.2989044
b,0.3382332,0.09043265,0.20692576,0.003284485,2618.396539,158673.1111,2519.234816,58741.45276,5720.398743,743533.0746,0.13383139,0.001301113,-5.41E-05,0.023057673,135.9991776,0.96639013,678.5127,0.000875526,4.2077003,-0.000413985,1.9070003
b,0.3152661,0.09644194,0.6120673,0.04247394,1414.341962,93478.10003,1622.234842,35940.9667,2497.534898,353484.3125,0.063900596,0.000680339,-0.000247691,0.30376273,129.1992188,3.344745,1364.5828,-0.001314574,2.5676718,-0.000863289,0.8562193
b,0.2925031,0.08812519,0.12696904,0.002376831,2226.878474,203248.4626,2039.828862,70509.69483,4199.174608,864533.9962,0.129154926,0.002072401,-1.88E-06,0.013790803,117.4538352,-7.9791718,1281.09,0.003857573,3.460263,0.001442657,1.2546974
b,0.32700646,0.08769523,0.14588127,0.002037164,1935.842786,72721.18156,1944.560342,46600.35764,3662.027856,433058.3291,0.097409464,0.000775082,-3.48E-06,0.015111687,135.9991776,-4.367121,1233.3328,-0.002734285,2.7947512,0.001743737,1.1534721
b,0.35142335,0.08706164,0.16703793,0.004405782,2246.146204,87121.90295,1770.64406,38473.12755,4112.514355,234723.1182,0.14017349,0.001715947,-2.49E-06,0.016518336,112.3471467,-3.1360176,1349.187,-0.007294222,5.227996,0.000117326,2.0301933
b,0.37146965,0.092310086,0.16764757,0.003115425,2093.716217,288290.7727,2344.001678,178629.0942,4605.62849,2205280.993,0.086952631,0.000697622,-9.51E-06,0.019339535,95.703125,1.9213616,1106.807,0.004842269,8.475472,0.000450337,3.4718585
b,0.39342943,0.08366602,0.13039106,0.001837586,2463.02105,92512.28623,1918.158579,35851.55227,4594.772216,258011.6641,0.154708437,0.001400661,1.31E-06,0.009022352,123.046875,-3.3565512,1227.3025,-0.000314373,4.249043,0.000638218,1.512551
b,0.3585136,0.08899289,0.23382269,0.002441972,3071.198188,465772.8349,2710.222212,90532.67147,6287.720044,1404869.566,0.146964057,0.004002969,2.91E-05,0.032440603,135.9991776,3.6770444,582.3023,0.003773624,8.889738,0.000603837,4.7554913
b,0.38081333,0.09270644,0.2507545,0.01387348,2975.992372,656122.3687,2825.081742,86504.0215,6522.527865,1707112.064,0.1439624,0.007715869,9.58E-05,0.03806013,129.1992188,4.50292,594.6536,0.003581667,8.702854,-0.002129615,3.763187
b,0.39414072,0.085883126,0.16270489,0.001680002,3112.65494,442340.1986,2648.906142,63485.50322,6271.739888,1251622.329,0.165870004,0.003865656,-5.26E-07,0.013494999,92.28515625,1.0925603,555.83496,0.004414512,7.7190766,-0.000516155,3.340384
b,0.2901045,0.08811853,0.2318346,0.005517297,2589.848208,423240.4899,2463.731514,75759.25257,5424.474524,1151743.725,0.1330237,0.003274633,1.28E-05,0.030961739,99.38401442,2.9877758,820.27386,0.026559096,7.2644877,-0.001287884,3.8751113
b,0.36844105,0.09019579,0.2584125,0.009704673,2726.301385,608811.2098,2683.550096,148125.8379,5982.186753,2396065.896,0.119647019,0.003516917,-6.00E-05,0.03661085,129.1992188,4.9826875,698.555,-0.001645369,9.215386,-0.00027002,3.8750908
b,0.363735,0.082726896,0.20952398,0.003303038,2603.901925,371767.4475,2465.735792,137942.4537,5355.948682,1820581.803,0.13032972,0.00199443,1.22E-05,0.018725501,117.4538352,4.3853006,764.0457,0.000112386,9.307947,-0.003718507,4.213394
b,0.3764413,0.08741184,0.20033728,0.011740784,2380.982231,270953.9559,2424.22562,115410.912,5146.697947,1216074.49,0.123895882,0.002335923,6.98E-06,0.018265411,107.6660156,2.9224656,846.934,0.01028646,6.070528,-0.006097818,3.0302427
b,0.36087632,0.0868689,0.20378819,0.00331368,2457.057818,408785.3218,2335.687477,197270.5088,4990.527513,2224103.475,0.129950629,0.00225336,-5.75E-06,0.02221466,143.5546875,2.2812588,943.6627,0.023995543,11.741844,0.002206203,5.808995
b,0.36086446,0.089950904,0.20066372,0.002422545,2814.769898,426887.8213,2680.466177,133026.5798,6025.865852,1995945.212,0.137798168,0.00331718,-1.26E-05,0.019182986,143.5546875,3.1878214,682.02386,0.002471952,8.586969,0.001529449,4.2124486
b,0.38292807,0.085145436,0.23622759,0.008197984,2509.135427,376656.7568,2462.448262,98963.49067,5307.038045,1409527.626,0.121147585,0.003679123,1.65E-05,0.024216408,129.1992188,4.0040975,938.1219,0.025239712,9.445444,0.000551803,5.045511
b,0.2883273,0.08548196,0.22308151,0.005132035,2498.957919,255157.8983,2459.435913,101996.857,5204.843345,1499075.585,0.12615087,0.001457462,-3.41E-05,0.032955594,151.9990809,3.2984414,756.9884,-0.001782868,7.0824704,0.003730305,4.468313
b,0.33876398,0.0865394,0.35880706,0.012431503,2409.571627,420525.9816,2454.403221,105845.3624,5122.763661,1649147.744,0.107990553,0.002649176,-8.00E-06,0.079131775,129.1992188,5.9818425,753.4006,0.01914328,8.824203,0.001440328,3.6852353
b,0.27899218,0.08518475,0.205233,0.006350055,2738.615633,640577.8413,2664.574802,114639.0971,6023.88452,1961239.593,0.126220138,0.004657563,1.46E-06,0.021432435,99.38401442,1.630837,891.8577,0.014341872,7.297299,-0.000179207,4.0246444
b,0.27942857,0.08467684,0.20236854,0.003570893,2954.341006,418896.2287,2764.814392,62300.03983,6373.670767,1362948.873,0.143839393,0.004409537,-4.06E-05,0.024431694,129.1992188,1.69607,570.9448,0.004535338,6.527962,-0.000368947,2.6938477
b,0.2716859,0.08312376,0.20769274,0.002890199,2864.825925,789644.2851,2762.74589,139945.3511,6370.516592,2350188.854,0.130995735,0.006247717,-3.63E-06,0.024503417,129.1992188,1.556222,698.0889,0.002447305,7.9848657,0.000452768,3.6401896
b,0.31652382,0.085119724,0.3201911,0.013736308,2954.821862,600805.4262,2733.405347,131835.623,6353.745857,1629638.351,0.137818691,0.005816262,4.57E-05,0.058893252,151.9990809,4.1584496,676.04486,0.015080402,7.3748684,6.55E-05,3.0451956
b,0.3461175,0.09404345,0.33595252,0.009421799,2511.697336,398568.5456,2491.670377,147065.1743,5306.281365,2291596.199,0.1127033,0.002121489,0.000219565,0.05233951,92.28515625,4.3506737,714.926,-0.001850118,9.121559,-0.000582414,4.572063
